[2026-04-10 15:25:02] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:53:20] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 86/434 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:20] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 87/435 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:20] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 88/436 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:21] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 89/437 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:21] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 90/438 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:53:21] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:53:24] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:53:24] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 201/445 packets in the last 20 seconds (45% of recent traffic).
[2026-04-10 15:53:24] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 126/485 packets in the last 20 seconds (26% of recent traffic).
[2026-04-10 15:53:24] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:53:24] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:53:26] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:53:26] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:53:26] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 91/486 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:53:26] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 92/485 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:53:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 93/484 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:53:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 94/483 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:53:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 95/482 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 96/481 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 97/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 98/515 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 99/516 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 100/517 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 101/518 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 102/519 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 103/520 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 104/521 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 105/521 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:29] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 106/521 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:53:30] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:53:33] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:53:33] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 241/530 packets in the last 20 seconds (45% of recent traffic).
[2026-04-10 15:53:33] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 151/570 packets in the last 20 seconds (26% of recent traffic).
[2026-04-10 15:53:33] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:53:33] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:53:35] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:53:35] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:53:50] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2404:6800:4007:80e::200e:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 40/110 packets in the last 20 seconds (36% of recent traffic).
[2026-04-10 15:53:51] [WARNING] ANOM-TRAFFIC-SPIKE | 2404:6800:4007:80e::200e -> 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba:52162 | Traffic spike from a single source detected | 2404:6800:4007:80e::200e generated 40/141 packets in the last 20 seconds (28% of recent traffic).
[2026-04-10 15:53:56] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2606:4700:83b2:7cbc:c2fe:8d2:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 93/289 packets in the last 20 seconds (32% of recent traffic).
[2026-04-10 15:53:57] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2606:4700:90d2:7cbc:c2a5:8bb:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 108/319 packets in the last 20 seconds (34% of recent traffic).
[2026-04-10 15:53:59] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2606:4700:90d1:c4f:6a39:8bb:a873:e7f:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 109/321 packets in the last 20 seconds (34% of recent traffic).
[2026-04-10 15:54:01] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2404:6800:4003:c03::bc:5228 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 110/323 packets in the last 20 seconds (34% of recent traffic).
[2026-04-10 15:54:01] [WARNING] ANOM-WIDE-TARGETING | 10.194.125.107 -> 10.194.125.128 | One source is probing many service ports | 10.194.125.107 contacted 15 distinct destination ports in the last 20 seconds.
[2026-04-10 15:54:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.194.125.128 -> 10.194.125.107:53 | Traffic spike from a single source detected | 10.194.125.128 generated 40/360 packets in the last 20 seconds (11% of recent traffic).
[2026-04-10 15:54:04] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2606:4700:83b2:7cbc:c23b:8a9:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 118/377 packets in the last 20 seconds (31% of recent traffic).
[2026-04-10 15:54:05] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2606:4700:83b2:7cbc:c2fe:8d2:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 111/353 packets in the last 20 seconds (31% of recent traffic).
[2026-04-10 15:54:06] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2606:4700:90d2:7cbc:c2a5:8bb:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 112/356 packets in the last 20 seconds (31% of recent traffic).
[2026-04-10 15:54:08] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2606:50c0:8000::154:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 99/320 packets in the last 20 seconds (31% of recent traffic).
[2026-04-10 15:54:08] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2600:140f:3e00::17c9:3531:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 100/322 packets in the last 20 seconds (31% of recent traffic).
[2026-04-10 15:54:08] [WARNING] ANOM-TRAFFIC-SPIKE | 10.194.125.128 -> 185.199.111.154:443 | Traffic spike from a single source detected | 10.194.125.128 generated 40/323 packets in the last 20 seconds (12% of recent traffic).
[2026-04-10 15:54:15] [WARNING] ANOM-LARGE-PACKET | 2603:1063:5:102::365:7ea3 -> 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba:63461 | Unusually large packet observed | Current packet length 1414 bytes exceeded the recent baseline threshold of 1408.0 bytes.
[2026-04-10 15:54:15] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2603:1063:5:102::365:7ea3:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 40/133 packets in the last 20 seconds (30% of recent traffic).
[2026-04-10 15:54:25] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2404:6800:4007:811::2003:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 40/109 packets in the last 20 seconds (37% of recent traffic).
[2026-04-10 15:54:28] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2606:4700:90d1:c4f:6a39:8bb:a873:e7f:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 40/111 packets in the last 20 seconds (36% of recent traffic).
[2026-04-10 15:54:34] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba -> 2606:4700:83b2:7cbc:c23b:8a9:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:97d5:58d7:15e2:3a45:b9e1:daba generated 41/105 packets in the last 20 seconds (39% of recent traffic).
[2026-04-10 15:54:51] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:54:51] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 35 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:54:51] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 40/59 packets in the last 20 seconds (68% of recent traffic).
[2026-04-10 15:54:52] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 20 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:54:52] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:54:52] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:54:54] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:54:54] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 40/159 packets in the last 20 seconds (25% of recent traffic).
[2026-04-10 15:54:56] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 40/181 packets in the last 20 seconds (22% of recent traffic).
[2026-04-10 15:54:56] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 41/182 packets in the last 20 seconds (23% of recent traffic).
[2026-04-10 15:54:56] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 42/183 packets in the last 20 seconds (23% of recent traffic).
[2026-04-10 15:54:56] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 43/184 packets in the last 20 seconds (23% of recent traffic).
[2026-04-10 15:54:56] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 44/185 packets in the last 20 seconds (24% of recent traffic).
[2026-04-10 15:54:56] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 45/186 packets in the last 20 seconds (24% of recent traffic).
[2026-04-10 15:54:56] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 46/187 packets in the last 20 seconds (25% of recent traffic).
[2026-04-10 15:54:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 47/188 packets in the last 20 seconds (25% of recent traffic).
[2026-04-10 15:54:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 48/189 packets in the last 20 seconds (25% of recent traffic).
[2026-04-10 15:54:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 49/259 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:54:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 50/260 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:54:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 51/261 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:54:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 52/262 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:54:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 53/263 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:54:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 54/264 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:54:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 55/265 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:02] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:55:02] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:55:02] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:55:02] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 161/360 packets in the last 20 seconds (45% of recent traffic).
[2026-04-10 15:55:02] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:55:02] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 101/400 packets in the last 20 seconds (25% of recent traffic).
[2026-04-10 15:55:03] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:55:03] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:55:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 88/436 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 89/437 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 90/438 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 91/439 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 92/440 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 93/441 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 94/442 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 95/443 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 96/444 packets in the last 20 seconds (22% of recent traffic).
[2026-04-10 15:55:08] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 97/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:08] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 98/515 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:08] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 99/516 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:08] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 100/517 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:08] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 101/518 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:08] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 102/519 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:08] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 103/520 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:11] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:55:11] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:55:11] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:55:11] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 266/581 packets in the last 20 seconds (46% of recent traffic).
[2026-04-10 15:55:12] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:55:12] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 151/570 packets in the last 20 seconds (26% of recent traffic).
[2026-04-10 15:55:12] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:55:12] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:55:14] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 104/521 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:14] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 105/522 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:14] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 106/523 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:14] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 107/524 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:14] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 108/525 packets in the last 20 seconds (21% of recent traffic).
